" 3D Run ID"	"Dist"	"L_ant2"	"W_ant2"	"Tables\0D Results\S1,1_2.45GHz"	"Tables\0D Results\S1,1_5.5GHz"	"Tables\0D Results\S1,1_6.5GHz"
"217"	"1.46531"	"17.4223"	"1.5"	"-8.45095"	"-10.0433"	"-11.4415"
"218"	"1.48934"	"17.3849"	"1.5"	"-8.34928"	"-9.95454"	"-11.438"
"219"	"1.4648"	"17.4091"	"1.5"	"-8.48442"	"-10.0575"	"-11.4224"
"220"	"1.48103"	"17.4356"	"1.5"	"-8.52651"	"-9.93838"	"-11.4481"
"221"	"1.46984"	"17.4052"	"1.5"	"-8.45755"	"-10.0002"	"-11.431"
"222"	"1.49471"	"17.3807"	"1.5"	"-8.35607"	"-9.9471"	"-11.4297"
"223"	"1.46934"	"17.3959"	"1.5"	"-8.45426"	"-10.0349"	"-11.4182"
"224"	"1.46281"	"17.4009"	"1.5"	"-8.4824"	"-10.0777"	"-11.4175"
"225"	"1.45948"	"17.408"	"1.5"	"-8.48049"	"-10.0961"	"-11.4259"
"226"	"1.46766"	"17.4124"	"1.5"	"-8.45547"	"-10.0097"	"-11.4378"
"227"	"1.46109"	"17.4069"	"1.5"	"-8.47974"	"-10.1108"	"-11.419"
"228"	"1.47039"	"17.4213"	"1.5"	"-8.45651"	"-10.0099"	"-11.4419"
"229"	"1.47175"	"17.4241"	"1.5"	"-8.5114"	"-10.032"	"-11.4392"
"230"	"1.48068"	"17.4019"	"1.5"	"-8.52414"	"-9.96439"	"-11.422"
"231"	"1.45722"	"17.3993"	"1.5"	"-8.47824"	"-10.1189"	"-11.4208"
"232"	"1.47189"	"17.4007"	"1.5"	"-8.51024"	"-10.048"	"-11.4208"
"233"	"1.47124"	"17.4251"	"1.5"	"-8.45991"	"-9.97663"	"-11.4467"
"234"	"1.47421"	"17.4376"	"1.5"	"-8.5159"	"-10.0058"	"-11.4487"
"235"	"1.46375"	"17.3954"	"1.5"	"-8.48255"	"-10.0749"	"-11.4123"
"236"	"1.46248"	"17.4072"	"1.5"	"-8.4806"	"-10.1003"	"-11.4181"
"237"	"1.4739"	"17.4272"	"1.5"	"-8.51489"	"-10.0154"	"-11.4407"
"238"	"1.47315"	"17.4306"	"1.5"	"-8.51485"	"-9.99338"	"-11.4479"
"239"	"1.47222"	"17.4292"	"1.5"	"-8.46114"	"-9.96723"	"-11.4496"
"0"	""	""	""	"-8.51867"	"-10.019"	"-11.3544"
